company name,company description,company website,common projects funded,estimated funding they normally give (range)
World Fund,Climate tech VC focused on solutions that reduce CO2 emissions across sectors,https://www.worldfund.vc,Climate tech and decarbonization,Seed to Growth ($0.5M-$20M+)
Breakthrough Energy,Invests in breakthrough climate and clean energy tech,https://www.breakthroughenergy.org,"Clean energy, storage, hydrogen, carbon capture",$10M-$100M+
Prelude Ventures,"Climate tech VC investing across energy, agriculture, supply chain",https://www.preludeventures.com,"Energy transition, food/agriculture",$1M-$20M
Congruent Ventures,Early stage climate and sustainability investor,https://www.congruentvc.com,"Energy, urbanization, decarbonization",$500K-$10M
Energy Impact Partners,Growth investor partnering with utilities for energy transition,https://www.energyimpactpartners.com,"Grid, utilities, energy efficiency",$10M-$100M+
Climate Pledge Fund,Amazon-backed fund investing in net-zero solutions,https://www.amazon.com/climatepledgefund,Decarbonization technologies,$5M-$50M+
SOSV,Deep-tech climate VC and accelerator,https://sosv.com,"Energy, hardware, climate deep tech",$200K-$500K
SET Ventures,VC focused on digital energy systems,https://set.vc,"Energy storage, smart grids",$1M-$10M
Pale Blue Dot,Climate VC funding decarbonization innovation,http://palebluedot.vc,Climate tech & resilience,$50k - $2M+
ETF Partners,Sustainable tech investor,https://etfpartners.capital,"Energy, mobility, sustainable food",$1M-$15M
Copenhagen Infrastructure Partners,Large-scale renewable energy investor,https://cip.com,"Wind, solar, storage",$100M+
Aquila Capital,Sustainable infrastructure investor,https://www.aquila-capital.de,"Renewables, energy efficiency",$10M+
True North Venture Partners,VC investing in sustainability,https://www.truenorthvp.com,"Energy, water, agriculture",$100K-$25M
Collaborative Fund,Generalist VC with climate focus,https://collabfund.com,Climate tech & sustainability,$500K-$10M
ENGIE New Ventures,Corporate VC for decarbonization,https://www.engie.com,Energy digitalization,$5M+
Emerald Technology Ventures,Industrial climate tech investor,https://www.emerald-ventures.com,"Energy, materials, water",$5M-$20M
Clean Energy Ventures,VC focused on clean energy startups,https://cleanenergyventures.com,Clean energy,$1M-$10M
Clean Energy Venture Group,Early-stage clean energy investor,https://cevg.com,Energy tech,$500K-$5M
Energize Ventures,Energy software VC,https://www.energize.vc,Energy software,$5M-$20M
Green Climate Fund,Global climate mitigation fund,https://www.greenclimate.fund,Climate adaptation & mitigation,$10M+
BP Ventures,Corporate VC investing in low-carbon tech,https://www.bp.com,"Carbon capture, hydrogen",$5M-$50M
Shell Ventures,Corporate VC for energy transition,https://www.shell.com,Energy transition tech,$5M-$100M
TotalEnergies Ventures,Corporate VC for clean energy,https://totalenergies.com,"Renewables, storage",$5M-$50M
National Grid Partners,Utility-backed VC,https://www.nationalgrid.com,Grid modernization,$1M-$20M
Lowercarbon Capital,Climate VC focused on emissions reduction,https://lowercarboncapital.com,"Carbon removal, fusion",$1M-$25M
G2VP,Sustainable industrial VC,https://www.g2vp.com,Energy & industrial tech,$1M-$15M
NGP Capital,Energy and technology VC,https://www.ngpcap.com,Energy tech,$5M-$20M
Nth Power,Energy & climate tech VC,https://www.nthpower.com,Energy innovation,$2M-$15M
FactorE Ventures,Decarbonization-focused VC,https://www.factore.com,"Energy, agriculture",$1M-$10M
Braemar Energy Ventures,Energy-focused VC,https://www.braemarenergy.com,Energy tech,$1M-$10M
Clean Energy Trust,Non-profit clean energy investor,https://www.cleanenergytrust.org,Energy startups,$250K-$5M
Climate Tech Partners,VC focused on sustainable fuels,https://climatetechpartners.co,Sustainable aviation fuel,$1M-$10M
Third Sphere,Early stage climate tech fund,https://thirdsphere.vc,Hardware climate tech,Seed-Series A
Obvious Ventures,Purpose-driven VC,https://obvious.com,Climate & sustainability,$1M-$15M
Fifth Wall,Climate & real estate VC,https://fifthwall.com,Built environment decarbonization,$5M-$50M
Generate Capital,Sustainable infrastructure investor,https://generatecapital.com,Infrastructure & clean energy,$10M+
Energy Capital Partners,Energy transition investor,https://www.ecpartners.com,Renewables & infrastructure,$10M-$100M
Alumni Ventures,Network VC with climate funds,https://www.av.vc,Climate & sustainability,$500K-$5M
Free Electrons,Utility-linked accelerator,https://freeelectrons.org,Energy innovation,Pilot-$1M+
Capital E,Early-stage clean tech investor,https://cap-e.com,Clean tech,$250K-$3M
1955 Capital,Sustainability-focused VC,https://1955.capital,Climate tech & global growth,$2M-$15M
